boro_cd,cdta_name,boro_name,time_period,poverty_count,poverty_rate
405,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),Queens,2016-20,16936,8.825
405,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),Queens,2017-21,18891,9.325
406,QN06 Forest Hills-Rego Park (CD 6 Approximation),Queens,2016-20,10245,9.899999999999999
406,QN06 Forest Hills-Rego Park (CD 6 Approximation),Queens,2017-21,10006,9.35
407,QN07 Flushing-Murray Hill-Whitestone (CD 7 Approximation),Queens,2016-20,34947,12.757142857142856
407,QN07 Flushing-Murray Hill-Whitestone (CD 7 Approximation),Queens,2017-21,35685,13.085714285714285
408,QN08 Fresh Meadows-Hillcrest-Briarwood (CD 8 Approximation),Queens,2016-20,19089,12.04
408,QN08 Fresh Meadows-Hillcrest-Briarwood (CD 8 Approximation),Queens,2017-21,18864,11.700000000000001
409,QN09 Kew Gardens-Richmond Hill-Woodhaven (CD 9 Approximation),Queens,2016-20,16517,11.74
409,QN09 Kew Gardens-Richmond Hill-Woodhaven (CD 9 Approximation),Queens,2017-21,16779,11.28
410,QN10 South Ozone Park-Howard Beach (CD 10 Approximation),Queens,2016-20,14600,11.6
410,QN10 South Ozone Park-Howard Beach (CD 10 Approximation),Queens,2017-21,13822,9.733333333333334
411,QN11 Auburndale-Bayside-Douglaston (CD 11 Approximation),Queens,2016-20,9029,7.4750000000000005
411,QN11 Auburndale-Bayside-Douglaston (CD 11 Approximation),Queens,2017-21,10278,8.125
412,QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),Queens,2016-20,26466,10.533333333333333
412,QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),Queens,2017-21,29988,11.2
413,QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation),Queens,2016-20,15474,7.428571428571429
413,QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation),Queens,2017-21,15538,7.285714285714286
414,QN14 The Rockaways (CD 14 Equivalent),Queens,2016-20,21152,15.833333333333334
414,QN14 The Rockaways (CD 14 Equivalent),Queens,2017-21,23622,16.833333333333336
501,SI01 North Shore (CD 1 Equivalent),Staten Island,2016-20,26702,17.128571428571426
501,SI01 North Shore (CD 1 Equivalent),Staten Island,2017-21,25657,16.02857142857143
502,SI02 Mid-Island (CD 2 Approximation),Staten Island,2016-20,14284,10.575
502,SI02 Mid-Island (CD 2 Approximation),Staten Island,2017-21,14428,10.2
503,SI03 South Shore (CD 3 Approximation),Staten Island,2016-20,9787,6.32
503,SI03 South Shore (CD 3 Approximation),Staten Island,2017-21,10151,6.02
